employee_id,employee_name,date,check_in,check_out,duration_seconds,daily_status,late_arrival,source,localisation,anomaly_injected,profile_label
1020,Ines Bouazizi,2026-04-21,,,,ABSENT,False,,,False,normal_absent
1001,Amira Ferjani,2026-01-29,,,,ABSENT,False,,,False,normal_absent
1035,Sarra Mejri,2026-03-11,2026-03-11T08:08:00,2026-03-11T16:56:22.538088,31702.0,WORKING,False,WEB,Tunis,False,normal_office
1017,Mariem Gharbi,2026-03-20,2026-03-20T08:30:00,2026-03-20T16:29:52.215494,28792.0,REMOTE,False,MOBILE,Remote,False,normal_office
1005,Ines Saidi,2026-01-27,2026-01-27T08:47:00,2026-01-27T17:42:11.167780,32111.0,REMOTE,False,MOBILE,Remote,False,normal_office
1047,Salma Karoui,2026-03-24,2026-03-24T08:23:00,2026-03-24T16:27:22.569561,29062.0,WORKING,False,WEB,Tunis,False,normal_office
1042,Yassine Trabelsi,2026-04-11,2026-04-11T09:39:00,,,WORKING,True,WEB,Tunis,True,anomaly_missing_checkout
1044,Hamza Chebbi,2026-03-24,2026-03-24T08:58:00,2026-03-24T17:26:38.446511,30518.0,WORKING,False,WEB,Tunis,False,normal_office
1049,Mehdi Saidi,2026-04-16,2026-04-16T09:59:00,2026-04-16T18:36:56.335042,31076.0,WORKING,True,WEB,Tunis,False,normal_office
1046,Ines Mejri,2026-03-09,2026-03-09T07:21:00,2026-03-09T15:24:04.307722,28984.0,WORKING,False,WEB,Tunis,False,normal_office
1031,Amira Bouazizi,2026-03-19,,,,ABSENT,False,,,False,normal_absent
1003,Walid Bouazizi,2026-02-27,2026-02-27T09:08:00,2026-02-27T18:39:41.986076,34301.0,WORKING,False,WEB,Tunis,False,late_worker
1028,Hatem Chebbi,2026-04-08,2026-04-08T08:37:00,2026-04-08T17:08:56.933848,30716.0,WORKING,False,WEB,Tunis,False,normal_office
1035,Sarra Mejri,2026-03-17,2026-03-17T08:49:00,2026-03-17T17:14:05.156608,30305.0,WORKING,False,WEB,Tunis,False,normal_office
1046,Ines Mejri,2026-02-17,2026-02-17T08:31:00,2026-02-17T16:36:45.536051,29145.0,WORKING,False,WEB,Tunis,False,normal_office
1046,Ines Mejri,2026-01-22,2026-01-22T08:09:00,2026-01-22T15:05:48.428864,25008.0,WORKING,False,WEB,Tunis,False,normal_office
1002,Hatem Saidi,2026-04-13,2026-04-13T08:42:00,2026-04-13T16:53:37.512884,29497.0,WORKING,False,WEB,Tunis,False,normal_office
1014,Walid Ferjani,2026-02-25,2026-02-25T08:32:00,2026-02-25T15:44:45.947849,25965.0,WORKING,False,WEB,Tunis,False,normal_office
1024,Omar Trabelsi,2026-05-15,2026-05-15T07:01:00,2026-05-15T15:44:10.183899,31390.0,WORKING,False,WEB,Tunis,False,early_bird
1005,Ines Saidi,2026-01-30,2026-01-30T08:37:00,2026-01-30T16:39:00.178977,28920.0,WORKING,False,WEB,Tunis,False,normal_office
1028,Hatem Chebbi,2026-04-09,2026-04-09T08:13:00,2026-04-09T15:49:28.104325,27388.0,WORKING,False,WEB,Tunis,False,normal_office
1046,Ines Mejri,2026-03-12,,,,ABSENT,False,,,False,normal_absent
1036,Sami Gharbi,2026-04-11,2026-04-11T08:50:00,2026-04-11T16:05:24.279062,26124.0,REMOTE,False,MOBILE,Remote,False,remote_worker
1040,Aymen Mejri,2026-04-01,2026-04-01T06:30:00,2026-04-01T15:03:38.272763,30818.0,WORKING,False,WEB,Tunis,False,early_bird
1024,Omar Trabelsi,2026-03-11,2026-03-11T07:30:00,2026-03-11T16:04:06.944410,30846.0,WORKING,False,WEB,Tunis,False,early_bird
1022,Aymen Bouazizi,2026-03-12,2026-03-12T11:12:00,2026-03-12T20:58:34.018952,35194.0,WORKING,True,WEB,Tunis,False,late_worker
1025,Bilel Ben Ali,2026-04-03,,,,ABSENT,False,,,False,normal_absent
1013,Rania Ben Ali,2026-05-06,2026-05-06T09:08:00,2026-05-06T16:54:53.927595,28013.0,WORKING,False,WEB,Tunis,False,normal_office
1018,Salma Belhaj,2026-03-23,2026-03-23T08:49:00,2026-03-23T17:20:27.221800,30687.0,WORKING,False,WEB,Tunis,False,normal_office
1036,Sami Gharbi,2026-03-09,2026-03-09T07:40:00,2026-03-09T14:13:23.217049,23603.0,REMOTE,False,MOBILE,Remote,False,remote_worker
1014,Walid Ferjani,2026-05-03,2026-05-03T08:39:00,2026-05-03T16:06:24.236953,26844.0,WORKING,False,WEB,Tunis,False,normal_office
1015,Nour Saidi,2026-04-09,2026-04-09T09:42:00,2026-04-09T19:05:56.563254,33836.0,WORKING,True,WEB,Tunis,False,late_worker
1004,Bilel Belhaj,2026-02-26,,,,ABSENT,False,,,False,normal_absent
1000,Salma Belhaj,2026-02-02,2026-02-02T10:00:00,2026-02-02T19:05:18.185421,32718.0,WORKING,True,WEB,Tunis,False,late_worker
1031,Amira Bouazizi,2026-03-10,,,,ABSENT,False,,,False,normal_absent
1007,Rania Gharbi,2026-03-17,2026-03-17T08:25:00,2026-03-17T16:48:24.133110,30204.0,WORKING,False,WEB,Tunis,False,normal_office
1022,Aymen Bouazizi,2026-04-27,2026-04-27T08:28:00,2026-04-27T17:42:18.581561,33258.0,WORKING,False,WEB,Tunis,False,late_worker
1000,Salma Belhaj,2026-04-24,2026-04-24T09:33:00,2026-04-24T19:00:45.447253,34065.0,WORKING,True,WEB,Tunis,False,late_worker
1029,Karim Trabelsi,2026-02-23,2026-02-23T08:29:00,2026-02-23T16:07:49.065575,27529.0,WORKING,False,WEB,Tunis,False,normal_office
1015,Nour Saidi,2026-04-02,2026-04-02T10:24:00,2026-04-02T19:16:25.036157,31945.0,WORKING,True,WEB,Tunis,False,late_worker
1015,Nour Saidi,2026-03-30,2026-03-30T09:45:00,2026-03-30T18:57:21.605795,33141.0,WORKING,True,WEB,Tunis,False,late_worker
1035,Sarra Mejri,2026-04-02,2026-04-02T07:50:00,2026-04-02T15:55:10.916006,29110.0,WORKING,False,WEB,Tunis,False,normal_office
1033,Mariem Sassi,2026-03-17,2026-03-17T07:00:00,2026-03-17T15:45:07.420924,31507.0,WORKING,False,WEB,Tunis,False,early_bird
1011,Aymen Hammami,2026-03-10,2026-03-10T07:25:00,2026-03-10T16:23:33.416573,32313.0,REMOTE,False,MOBILE,Remote,False,remote_worker
1042,Yassine Trabelsi,2026-02-21,2026-02-21T08:04:00,2026-02-21T15:47:04.131041,27784.0,WORKING,False,WEB,Tunis,False,normal_office
1046,Ines Mejri,2026-04-14,2026-04-14T09:22:00,2026-04-14T17:31:54.856943,29394.0,WORKING,True,WEB,Tunis,False,normal_office
1013,Rania Ben Ali,2026-02-23,2026-02-23T08:34:00,2026-02-23T16:34:45.766390,28845.0,WORKING,False,WEB,Tunis,False,normal_office
1037,Imene Sassi,2026-04-14,2026-04-14T08:57:00,2026-04-14T16:41:01.332598,27841.0,REMOTE,False,MOBILE,Remote,False,normal_office
1003,Walid Bouazizi,2026-04-16,,,,ABSENT,False,,,False,normal_absent
1023,Imene Sassi,2026-03-26,2026-03-26T08:31:00,2026-03-26T16:42:46.104593,29506.0,WORKING,False,WEB,Tunis,False,normal_office
1010,Walid Mejri,2026-04-14,,,,ABSENT,False,,,False,normal_absent
1023,Imene Sassi,2026-02-02,,,,ABSENT,False,,,False,normal_absent
1008,Imene Ben Ali,2026-02-13,2026-02-13T08:04:00,,,WORKING,True,WEB,Tunis,True,anomaly_missing_checkout
